START_STATION,AVG_RIDE_COUNT
Orleans St & Chestnut St (NEXT Apts),560.00
Ashland Ave & Blackhawk St,552.54
Calumet Ave & 18th St,551.08
Rush St & Hubbard St,546.83
Kedzie Ave & Milwaukee Ave,543.58
Michigan Ave & 18th St,536.25
Ogden Ave & Race Ave,535.50
Damen Ave & Division St,534.38
Carpenter St & Huron St,530.83
Southport Ave & Belmont Ave,530.00
California Ave & Milwaukee Ave,525.79
Field Museum,520.29
Sangamon St & Washington Blvd,519.79
LaSalle St & Washington St,519.21
Paulina St & Flournoy St,518.75
Wentworth Ave & Cermak Rd,517.88
Clark St & Berwyn Ave,517.21
Eckhart Park,515.96
Fairbanks St & Superior St,512.83
Franklin St & Adams St (Temp),512.13
State St & Harrison St,511.92
Morgan St & Polk St,509.13
Marine Dr & Ainslie St,506.00
Paulina Ave & North Ave,504.00
Aberdeen St & Randolph St,503.21
Southport Ave & Clybourn Ave,500.13
Cannon Dr & Fullerton Ave,496.96
Orleans St & Hubbard St,496.79
Wabash Ave & 16th St,490.71
Wolcott Ave & Polk St,485.75
May St & Taylor St,484.17
Dearborn St & Adams St,482.71
Halsted St & Polk St,482.46
Noble St & Milwaukee Ave,477.79
Wells St & Walton St,475.54
Broadway & Wilson - Truman College Vaccination Site,470.58
Broadway & Argyle St,470.00
State St & 33rd St,469.50
Western Ave & Winnebago Ave,469.29
Michigan Ave & Ida B Wells Dr,469.08
State St & Van Buren St,468.83
Clark St & Leland Ave,467.54
Ashland Ave & Chicago Ave,466.38
Sheridan Rd & Buena Ave,457.25
Ada St & Washington Blvd,446.88
Jefferson St & Monroe St,440.92
Canal St & Monroe St,438.25
Wacker Dr & Washington St,434.96
Dearborn St & Van Buren St,434.17
Walsh Park,433.08
Broadway & Berwyn Ave,431.17
Broadway & Granville Ave,426.58
Cornell Ave & Hyde Park Blvd,426.21
Racine Ave & Wrightwood Ave,422.42
900 W Harrison St,416.46
Clinton St & Roosevelt Rd,413.42
Halsted St & Maxwell St,410.71
MLK Jr Dr & 29th St,400.79
Damen Ave & Thomas St (Augusta Blvd),400.21
