START_STATION,AVG_RIDE_COUNT
Carpenter St & 63rd St,2.11
Cicero Ave & Grace St,2.08
S Aberdeen St & W 106th St,2.08
Maryland Ave & 104th St,2.07
Pulaski Rd & 21st St,2.06
Virginia Ave & Catalpa Ave,2.00
Monticello Ave & Chicago Ave,2.00
Kildare Ave & Division St,2.00
Sacramento Blvd & Fulton Ave,2.00
Fairfield Ave & 44th St,2.00
Hoyne Ave & 34th St,2.00
Tripp Ave & 15th St,1.92
Damen Ave & 33rd St,1.92
Woodlawn & 103rd - Olive Harvey Vaccination Site,1.91
California Ave & 36th St,1.89
Komensky Ave & 31st St,1.86
Hamlin Ave & 62nd Pl,1.86
Pulaski Rd & 60th St,1.86
Western Ave & Grace St,1.82
Ping Tom Park (East),1.82
Narragansett & McLean,1.82
Whipple/Irving Park,1.82
Kedzie Ave & 104th St,1.81
Central Park Ave & Ohio St,1.78
N Damen Ave & W Chicago Ave,1.75
Western Ave & Lake St,1.75
Archer Ave & 43rd St,1.73
Avenue L & 114th St,1.71
Leamington Ave & Hirsch St,1.71
Springfield Ave & 47th St,1.71
Kostner Ave & 63rd St,1.70
Lawndale Ave & 16th St,1.70
Long Ave & North Ave,1.67
Lavergne Ave & 46th St,1.63
Francisco Ave & Bloomingdale Ave,1.62
Richmond St & Lincoln Ave,1.55
Sacramento Blvd & Addison St,1.50
Western Ave & 62nd St,1.50
Kildare Ave & 55th St,1.50
Western Ave & 28th St,1.50
Maplewood Ave & 59th St,1.50
Kilpatrick Ave & Grand Ave,1.44
Kildare Ave & 26th St,1.43
Doty Ave & 111th St,1.43
California Ave & Marquette Rd,1.40
Francisco Ave & Montrose Ave,1.40
Kenneth Ave & 50th St,1.36
S Wentworth Ave & W 111th St,1.33
Menard Ave & North Ave,1.33
N Clark St & W Elm St,1.30
St Louis Ave & Norman Bobbins Ave,1.27
Augusta Blvd & Laramie Ave,1.25
California Ave & 29th St,1.25
Lamon Ave & Chicago Ave,1.22
Pulaski & Ann Lurie Pl,1.20
S Michigan Ave & E 118th St,1.17
Komensky Ave & 55th St,1.14
Francisco Ave & 47th St,1.14
N Hampden Ct & W Diversey Ave,1.00
Sacramento Ave & 25th St,1.00
Indiana Ave & 133rd St,1.00
Lyft Driver Center Private Rack,1.00
Washtenaw Ave & Madison St,1.00
Lincoln Ave & Peterson Ave,1.00
Washtenaw Ave & Peterson Ave,1.00
Western Ave & Ardmore Ave,1.00
Kildare Ave & 47th St,1.00
Halsted St & 63rd St,1.00
Sacramento Blvd & Polk St,1.00
Throop/Hastings Mobile Station,1.00
N Shore Channel Trail & Argyle Ave,1.00
Campbell Ave & 51st St,1.00
Olive Harvey College,1.00
St Louis Ave & 59th St,1.00
351,1.00
