HOUR_24,RIDE_COUNT
0,67559
1,64778
2,43180
3,24141
4,18437
5,39425
6,101774
7,190325
8,240196
9,212662
10,239215
11,305660
12,368289
13,385841
14,393656
15,427015
16,500489
17,600951
18,545096
19,410893
20,287757
21,218460
22,178966
23,109536
